review_id,user_name,content,score,review_created_version,at_iso,thumbs_up,reply_content,replied_at_iso,app_version,fetched_at_iso
c13ff359-dd00-4b08-baf4-c2120696fe9a,Aashish D,"I was the one who requested for dark mode in the app and thanks for fulfilling my request. However, I recently saw that IND Money shares our personal data to third parties.. Plz STOP this else like me many other users will loose trust and will discontinue your platform at earliest. SO STOP IT ASAP!!",1,9.1.7,2026-02-15T17:58:14,2,"To swiftly address your concern, kindly provide your registered email address to psreviews@indmoney.com along with relevant details. We sincerely apologize for any inconvenience caused and assure you of our prompt assistance. Thank you.",2026-02-15T19:22:22,9.1.7,2026-03-22T09:39:55.851671+00:00
6a6bcd92-7620-4929-bbae-fb17b77e4d16,Gaurav Sarkar,App watchlist is not syncing with website watchlist as I have only 4 watchlist in app but in website it is showing 6 watchlist. And try to add some features in watchlist like position changing from 3rd position I want a particular watchlist in 1st position. Developers please fix the issue. And also please give option to cancel or delete a particular SIP if a investor is not interest to invest in that particular stocks or ETFs. As I cannot delete US SIP ETFs.,4,9.1.1,2026-02-15T22:14:57,15,We understand your concern. Please be assured that resolving this matter promptly is our top priority. Your feedback is invaluable in helping us improve our service. Thank you for bringing it to our attention. We're actively working on a solution and will keep you updated on our progress.,2025-07-05T15:55:45,9.1.1,2026-03-22T09:39:55.851671+00:00
394686ee-b326-4e32-a25f-103a6bd27d96,Mohan Kurali,I am disappointed with the customer support I am receiving. I am not able to withdraw my funds for more than 2 weeks now.,1,9.1.6,2026-02-15T23:54:39,1,We understand your concern. Please be assured that resolving this matter promptly is our top priority. Your feedback is invaluable in helping us improve our service. Thank you for bringing it to our attention. We're actively working on a solution and will keep you updated on our progress.,2026-02-16T00:58:22,9.1.6,2026-03-22T09:39:55.851671+00:00
04a6bdc4-d85e-43fa-b5fa-7ee603ab0faa,positive thinkers,Good one AND very easy to doing business buy and sell.,5,9.1.6,2026-02-16T07:47:52,0,Thank you for your kind words! We’re glad you’re enjoying the INDmoney experience.,2026-02-16T10:13:11,9.1.6,2026-03-22T19:44:14.365834+00:00
3a217316-bc79-4f95-89d5-d7e45766f5d8,Arvind Kumar singh,verry good,5,9.1.6,2026-02-16T08:13:42,0,Thank you for your kind words! We’re glad you’re enjoying the INDmoney experience.,2026-02-16T10:13:15,9.1.6,2026-03-22T19:44:14.365834+00:00
73df1fbe-8a38-4b3e-942e-12ca9f8571ef,Avnish paliwal,"fraud app don't invest , spend money in save plus but they have not even returning the principal amount proper",2,9.1.6,2026-02-16T08:58:39,0,"Hi, To swiftly address your concern, kindly provide your registered email address to psreviews@indmoney.com along with relevant details. We sincerely apologize for any inconvenience caused and assure you of our prompt assistance. Thank you.",2026-02-16T10:12:32,9.1.6,2026-03-22T19:44:14.365834+00:00
de4b163b-be08-4cf4-be04-7efbb082968d,MOHAMED AZHARUDEEN,"SUBJECT: Request to Improve Exit Button Safety and Add Commodity Segment The current one-click exit feature is very sensitive; even while scrolling through positions, an accidental touch can trigger an unintended exit. Introducing an additional confirmation mechanism would significantly improve trading safety. Additionally, the absence of the commodity segment forces users to open another demat account with a different broker. kindly review my request and awaiting your response",3,,2026-02-16T11:52:24,0,Thank you for providing us your feedback. Your input is highly appreciated and will assist us in identifying the areas where we can improve our services. We are committed to ensuring that all of our clients are completely satisfied and your feedback will help us to achieve that goal.,2026-02-16T12:47:41,,2026-03-22T19:44:14.365834+00:00
87043227-9307-4cd7-bdba-5ec00af86c77,Petchi Kannan,"“The app has useful financial features, but the overall user interface needs serious improvement. The font size is too large, which makes the screen look cluttered and uncomfortable to view. The layout and overall design feel messy and not well-structured. It would be much better if the developers reduce the font size and redesign the layout to make it clean, simple, and easy to understand at first glance. A more organized and minimal interface would greatly improve the user experience.”",2,9.1.7,2026-02-16T13:02:28,2,Thanks for sharing your feedback! We value your input and are always working to make INDmoney better for you.,2026-02-16T13:58:38,9.1.7,2026-03-22T19:44:14.365834+00:00
5888b99a-ad95-428f-b8fc-d9c1c9ebfcc1,karthi keyan,Add more features in fundamental analysis of the stock.,5,9.1.6,2026-02-16T13:50:13,0,"Hi karthi, thank you for sharing your feedback! Please feel free to reach out to us at psreviews@indmoney.com
. We value your trust in INDmoney and are committed to continuously improving your experience.",2026-02-16T20:12:53,9.1.6,2026-03-22T19:44:14.365834+00:00
05f92f0f-d7e8-4272-8ec2-2ad409753caf,A_J_ DEVIL,pls give option for stop trading or no more trading like zerodha . Because of over trading we lose our capital so pls give this feature too,5,9.1.7,2026-02-16T15:29:54,0,"Hi, thank you for sharing your feedback! Please feel free to reach out to us at psreviews@indmoney.com. We value your trust in INDmoney and are committed to continuously improving your experience.",2026-02-16T20:13:23,9.1.7,2026-03-22T19:44:14.365834+00:00
e3d96c39-ba00-436a-8b09-8606803d82d9,Sankar Kalyan,"not worth the hype. didn't have even the basic features I was looking for. Searches showed it to be everything and a bag of chips. it is a bag of chips though, with 80% air. no offence to them who have praised it to the high heavens, for me it doesn't have the features I was looking for, and google said it had. Update- Someone from IM actually called. Big ups to them for this. 5 stars to them for calling to understand the reason for user reviews.",1,,2026-02-16T17:16:31,0,Thanks for sharing your feedback! We value your input and are always working to make INDmoney better for you.,2026-02-09T16:46:32,,2026-03-22T19:44:14.365834+00:00
a9093869-004a-4eab-be0b-3ddcbc9e6f31,ANSHAY AGARWAL,"They froze a large sum of my funds from transactions and have been avoiding returning it, sending evasive, poorly written excuses over email. Customer service is terrible, hard to reach by phone, and email responses are slow and drawn out with unnecessary delays. I wouldn’t trust them with my money. Update: Promised my due amount in bank account, instead offering reward points for it.",1,9.1.1,2026-02-16T17:32:57,12,We understand your concern. Please be assured that resolving this matter promptly is our top priority. Your feedback is invaluable in helping us improve our service. Thank you for bringing it to our attention. We're actively working on a solution and will keep you updated on our progress.,2026-01-14T10:46:07,9.1.1,2026-03-22T19:44:14.365834+00:00
48000fb6-db84-451d-b750-f2f19616bfda,Sharmad Desai,"Definitely this app is legit for me whatever others think. Full of features like MTF pay later, Networth tracker, Car or Bike tracker like it's pollution, current value and much more. I am using this app from 2 yrs it had no problem interface is pretty good. Charts are also good but sometimes lag but after update it's resolved overall the app is legitimate for beginners traders.",5,9.1.7,2026-02-16T22:31:54,20,With every new app version we are introducing new features and improving existing ones. We are sure that your feedback will only help us improve further.,2026-02-17T00:58:00,9.1.7,2026-03-22T19:44:14.365834+00:00
c774a086-6844-436a-8363-60b00f4349b1,Aadil Sheik,"really easy and reliable. one improvement to be pointed is that, the app should show a tutorial about the app and its features 😊✌🏻✌🏻✨✨",5,9.1.7,2026-02-17T07:53:57,0,Thank you for your kind words! We’re glad you’re enjoying the INDmoney experience.,2026-02-17T07:58:32,9.1.7,2026-03-22T19:44:14.365834+00:00
567493e0-1837-4412-8c67-634722f183f9,Sujeet Mishra,super plan h. this app is so much my dear family.i hole u always happy and live long time,4,9.1.7,2026-02-17T08:17:14,0,We truly appreciate your positive feedback! It means a lot to us — thank you for being part of the INDmoney family.,2026-02-17T11:08:23,9.1.7,2026-03-22T19:44:14.365834+00:00
55e78dab-69b8-4b0e-b724-7309742d02ab,KRISHN MISHRA,it's so Nice,5,9.1.7,2026-02-17T10:41:05,0,Thank you for your kind words! We’re glad you’re enjoying the INDmoney experience.,2026-02-17T11:07:59,9.1.7,2026-03-22T19:44:14.365834+00:00
81016a22-b27c-438c-ac15-3fa751b96f3b,shridhar r,"Worst app, very slow and not responsive sometimes, need to refresh every time",1,9.1.7,2026-02-17T13:09:56,0,"Hi, To swiftly address your concern, kindly provide your registered email address to psreviews@indmoney.com along with relevant details. We sincerely apologize for any inconvenience caused and assure you of our prompt assistance. Thank you.",2026-02-17T12:06:07,9.1.7,2026-03-22T19:44:14.365834+00:00
2205e081-34f1-41fe-838f-4134db4b5023,dpk दीपक Deepak Creativity,f&o Charges different charges 5 ₹/10/₹/20₹to different people. not clear transparency.,1,9.1.7,2026-02-17T15:21:56,0,"Hi, To swiftly address your concern, kindly provide your registered email address to psreviews@indmoney.com along with relevant details. We sincerely apologize for any inconvenience caused and assure you of our prompt assistance. Thank you.",2026-02-17T15:41:43,9.1.7,2026-03-22T19:44:14.365834+00:00
3f8dd4a4-bd5b-40ed-b3ed-7aaa0af860ef,Aabid Raja,good experience,5,7.1.4,2026-02-17T15:54:40,0,Thank you for choosing INDmoney! We’re happy to know you’re enjoying the experience.,2026-02-17T16:00:53,7.1.4,2026-03-22T19:44:14.365834+00:00
9e42455e-a4fc-48e6-8869-67559ed9925b,Rudrik Savaliya,"I used to prefer INDmoney for its simplicity, but recent updates have made the application extremely difficult to use. What was once a clean interface is now cluttered with half-baked features that make basic navigation a chore.",1,9.1.7,2026-02-17T18:29:25,3,"Hi, we appreciate your feedback! Please reach out to us at psreviews@indmoney.com. We value your trust in INDmoney and are committed to improving your experience and earning a five-star rating from you.",2026-02-17T19:31:52,9.1.7,2026-03-22T19:44:14.365834+00:00
08ed906a-4128-4921-a6d0-2cbebd9655c9,Parthiban A,please give tracking about credit card EMI also,5,9.1.6,2026-02-17T18:35:19,0,"Hi Parthiban, thank you for sharing your feedback! Please feel free to reach out to us at psreviews@indmoney.com. We value your trust in INDmoney and are committed to continuously improving your experience.",2026-02-18T01:03:59,9.1.6,2026-03-22T19:44:14.365834+00:00
b311d9e6-39fa-464d-bfe1-54ac0d4f8d64,Karan Patel,"Not gonna use it again, it's been 5 days I sent amount to my friend still neither he recieved or neither I got it back, complaint status on the page says resolution in progress, worst app although I am gonna complaint to npci for this",1,9.1.6,2026-02-17T19:16:27,0,We understand your concern. Please be assured that resolving this matter promptly is our top priority. Your feedback is invaluable in helping us improve our service. Thank you for bringing it to our attention. We're actively working on a solution and will keep you updated on our progress.,2026-02-17T20:04:51,9.1.6,2026-03-22T19:44:14.365834+00:00
796fba33-f71c-4899-a027-434354953d5d,Brice dmello,"Where is the trailing stoploss feature for Intraday that the indmoney team stated in ""What's New"" description of App update?? Is the team really aware??",1,9.1.7,2026-02-18T07:00:01,2,"Hi, To swiftly address your concern, kindly provide your registered email address to psreviews@indmoney.com along with relevant details. We sincerely apologize for any inconvenience caused and assure you of our prompt assistance. Thank you.",2026-02-18T08:13:36,9.1.7,2026-03-22T19:44:14.365834+00:00
e10b687c-4c2d-4568-bb38-314655d820c4,hemant vaidya,very nice 👍👍👍👍👍,5,9.1.7,2026-02-18T10:50:12,0,Thank you for choosing INDmoney! We’re happy to know you’re enjoying the experience.,2026-02-18T11:07:16,9.1.7,2026-03-22T19:44:14.365834+00:00
ace5bc9d-d643-425d-8d3c-809225c358fe,Digvijay Rajebhosale,"F & O - They Are Taking Very High Charges, Compared To Other Platforms",1,9.1.7,2026-02-18T11:49:17,0,"Hi, To swiftly address your concern, kindly provide your registered email address to psreviews@indmoney.com along with relevant details. We sincerely apologize for any inconvenience caused and assure you of our prompt assistance. Thank you.",2026-02-18T12:06:16,9.1.7,2026-03-22T19:44:14.365834+00:00
afbfb46e-ad9d-486c-8740-9bff3be0c2c0,Parvinder singh Balyan (Phool singh),nice help full app,5,9.1.7,2026-02-18T16:48:44,0,Thank you for choosing INDmoney! We’re happy to know you’re enjoying the experience.,2026-02-18T19:41:23,9.1.7,2026-03-22T19:44:14.365834+00:00
f99193b8-3940-4247-814c-ea1eab430c3c,Aashif,worst this update because my stocks list interface very worst previous update super I want previous interface with company logo also total portfolio means All broker interface very very worst I don't like it I want previous interface......always old is gold I think this application provide many more time update that is big drawback,3,9.1.7,2026-02-18T17:14:35,6,"Hi Aashif, we appreciate your feedback! Please reach out to us at psreviews@indmoney.com. We value your trust in INDmoney and are committed to improving your experience and earning a five-star rating from you.",2026-02-18T18:11:56,9.1.7,2026-03-22T19:44:14.365834+00:00
9ad9922c-6ec1-471a-a800-46dd12b379ad,Facts Know,Very good 👍👍😊😊,5,9.1.7,2026-02-18T19:31:16,0,Thank you for choosing INDmoney! We’re happy to know you’re enjoying the experience.,2026-02-19T01:00:54,9.1.7,2026-03-22T19:44:14.365834+00:00
2ad452da-51c3-4823-91f2-cf3334e709ea,Jayasankar Moolayil,my Heart beat with Indmoney Supportive sincerely,5,9.1.6,2026-02-18T20:11:27,0,Thank you for choosing INDmoney! We’re happy to know you’re enjoying the experience.,2026-02-19T01:00:58,9.1.6,2026-03-22T19:44:14.365834+00:00
9d0ce82d-9653-4600-9816-51c36bbd7795,NAVDIP KUMAR,super very nice platform for INDMONEY😃,5,9.1.3,2026-02-19T04:17:12,0,Thank you for your kind words! We’re glad you’re enjoying the INDmoney experience.,2026-02-19T07:15:49,9.1.3,2026-03-22T19:44:14.365834+00:00
